date;state;country;confirmed
2020-02-29;no;Germany;
2020-02-29;no;Italy;
2020-03-01;no;France;130.0
2020-03-01;no;Germany;
2020-03-01;no;Italy;
2020-03-02;no;France;191.0
2020-03-02;no;Germany;
2020-03-02;no;Italy;
2020-03-03;no;France;212.0
2020-03-03;no;Germany;
2020-03-03;no;Italy;
2020-03-04;no;France;288.0
2020-03-04;no;Germany;
2020-03-04;no;Italy;
2020-03-05;no;France;426.0
2020-03-05;no;Germany;
2020-03-05;no;Italy;
2020-03-06;no;France;616.0
2020-03-06;no;Germany;
2020-03-06;no;Italy;
2020-03-07;no;France;948.0
2020-03-07;no;Germany;
2020-03-07;no;Italy;
2020-03-08;no;France;1125.0
2020-03-08;no;Germany;
2020-03-08;no;Italy;
2020-03-09;no;France;1411.0
2020-03-09;no;Germany;
2020-03-09;no;Italy;
2020-03-10;no;France;1783.0
2020-03-10;no;Germany;
2020-03-10;no;Italy;
2020-03-11;no;France;2293.0
2020-03-11;no;Germany;
2020-03-11;no;Italy;
2020-03-12;no;France;2293.0
2020-03-12;no;Germany;
2020-03-12;no;Italy;
2020-03-13;no;France;3678.0
2020-03-13;no;Germany;
2020-03-13;no;Italy;
2020-03-14;no;France;4493.0
2020-03-14;no;Germany;
2020-03-14;no;Italy;
2020-03-15;no;France;4529.0
2020-03-15;no;Germany;
2020-03-15;no;Italy;
2020-03-16;no;France;6680.0
2020-03-16;no;Germany;
2020-03-16;no;Italy;
2020-03-17;no;France;7712.0
2020-03-17;no;Germany;
2020-03-17;no;Italy;
2020-03-18;no;France;9121.0
2020-03-18;no;Germany;
2020-03-18;no;Italy;
2020-03-19;no;France;10962.0
2020-03-19;no;Germany;
2020-03-19;no;Italy;
2020-03-20;no;France;12745.0
2020-03-20;no;Germany;
2020-03-20;no;Italy;
2020-03-21;no;France;14444.0
2020-03-21;no;Germany;
2020-03-21;no;Italy;
2020-03-22;no;France;16739.0
2020-03-22;no;Germany;
2020-03-22;no;Italy;
2020-03-23;no;France;20094.0
2020-03-23;no;Germany;
2020-03-23;no;Italy;
2020-03-24;no;France;22337.0
2020-03-24;no;Germany;
2020-03-24;no;Italy;
2020-03-25;no;France;25292.0
2020-03-25;no;Germany;
2020-03-25;no;Italy;
2020-03-26;no;France;29208.0
2020-03-26;no;Germany;
2020-03-26;no;Italy;
2020-03-27;no;France;33000.0
2020-03-27;no;Germany;
2020-03-27;no;Italy;
2020-03-28;no;France;37648.0
2020-03-28;no;Germany;
2020-03-28;no;Italy;
2020-03-29;no;France;40251.0
2020-03-29;no;Germany;
2020-03-29;no;Italy;
2020-03-30;no;France;44594.0
2020-03-30;no;Germany;
2020-03-30;no;Italy;
2020-03-31;no;France;52229.0
2020-03-31;no;Germany;
2020-03-31;no;Italy;
2020-04-01;no;France;57072.0
2020-04-01;no;Germany;
2020-04-01;no;Italy;
2020-04-02;no;France;59172.0
2020-04-02;no;Germany;
2020-04-02;no;Italy;
2020-04-03;no;France;64395.0
2020-04-03;no;Germany;
2020-04-03;no;Italy;
2020-04-04;no;France;47319.0
2020-04-04;no;Germany;
2020-04-04;no;Italy;
2020-04-05;no;France;48165.0
2020-04-05;no;Germany;
2020-04-05;no;Italy;
2020-04-06;no;France;50823.0
2020-04-06;no;Germany;
2020-04-06;no;Italy;
2020-04-07;no;France;47329.0
2020-04-07;no;Germany;
2020-04-07;no;Italy;
2020-04-08;no;France;51180.0
2020-04-08;no;Germany;
2020-04-08;no;Italy;
2020-04-09;no;France;54964.0
2020-04-09;no;Germany;
2020-04-09;no;Italy;
2020-04-10;no;France;56530.0
2020-04-10;no;Germany;
2020-04-10;no;Italy;
2020-04-11;no;France;57975.0
2020-04-11;no;Germany;
2020-04-11;no;Italy;
2020-04-12;no;France;108720.0
2020-04-12;no;Germany;
2020-04-12;no;Italy;
2020-04-13;no;France;111859.0
2020-04-13;no;Germany;
2020-04-13;no;Italy;
2020-04-14;no;France;129307.0
2020-04-14;no;Germany;
2020-04-14;no;Italy;
2020-04-15;no;France;132514.0
2020-04-15;no;Germany;
2020-04-15;no;Italy;
2020-04-16;no;France;145092.0
2020-04-16;no;Germany;
2020-04-16;no;Italy;
2020-04-17;no;France;146983.0
2020-04-17;no;Germany;
2020-04-17;no;Italy;
2020-04-18;no;France;150787.0
2020-04-18;no;Germany;
2020-04-18;no;Italy;
2020-04-19;no;France;151881.0
2020-04-19;no;Germany;
2020-04-19;no;Italy;
2020-04-20;no;France;154327.0
2020-04-20;no;Germany;
2020-04-20;no;Italy;
2020-04-21;no;France;156993.0
2020-04-21;no;Germany;
2020-04-21;no;Italy;
2020-04-22;no;France;158791.0
2020-04-22;no;Germany;
2020-04-22;no;Italy;
2020-04-23;no;France;157082.0
2020-04-23;no;Germany;
2020-04-23;no;Italy;
2020-04-24;no;France;159893.0
2020-04-24;no;Germany;
2020-04-24;no;Italy;
2020-04-25;no;France;161571.0
2020-04-25;no;Germany;
2020-04-25;no;Italy;
2020-04-26;no;France;162204.0
2020-04-26;no;Germany;
2020-04-26;no;Italy;
2020-04-27;no;France;165890.0
2020-04-27;no;Germany;
2020-04-27;no;Italy;
2020-04-28;no;France;169021.0
2020-04-28;no;Germany;
2020-04-28;no;Italy;
2020-04-29;no;France;167566.0
2020-04-29;no;Germany;
2020-04-29;no;Italy;
2020-04-30;no;France;168784.0
2020-04-30;no;Germany;
2020-04-30;no;Italy;
2020-05-01;no;France;169310.0
2020-05-01;no;Germany;
2020-05-01;no;Italy;
2020-05-02;no;France;170102.0
2020-05-02;no;Germany;
2020-05-02;no;Italy;
2020-05-03;no;France;170463.0
2020-05-03;no;Germany;
2020-05-03;no;Italy;
2020-05-04;no;France;171025.0
2020-05-04;no;Germany;
2020-05-04;no;Italy;
2020-05-05;no;France;172140.0
2020-05-05;no;Germany;
2020-05-05;no;Italy;
2020-05-06;no;France;176276.0
2020-05-06;no;Germany;
2020-05-06;no;Italy;
2020-05-07;no;France;177017.0
2020-05-07;no;Germany;
2020-05-07;no;Italy;
2020-05-08;no;France;177548.0
2020-05-08;no;Germany;
2020-05-08;no;Italy;
2020-05-09;no;France;178076.0
2020-05-09;no;Germany;
2020-05-09;no;Italy;
2020-05-10;no;France;178325.0
2020-05-10;no;Germany;
2020-05-10;no;Italy;
2020-05-11;no;France;178640.0
2020-05-11;no;Germany;
2020-05-11;no;Italy;
2020-05-12;no;France;179393.0
2020-05-12;no;Germany;
2020-05-12;no;Italy;
2020-05-13;no;France;179914.0
2020-05-13;no;Germany;
2020-05-13;no;Italy;
2020-05-14;no;France;180556.0
2020-05-14;no;Germany;
2020-05-14;no;Italy;
2020-05-15;no;France;181069.0
2020-05-15;no;Germany;
2020-05-15;no;Italy;
2020-05-16;no;France;181484.0
2020-05-16;no;Germany;
2020-05-16;no;Italy;
2020-05-17;no;France;181624.0
2020-05-17;no;Germany;
2020-05-17;no;Italy;
2020-05-18;no;France;182068.0
2020-05-18;no;Germany;
2020-05-18;no;Italy;
2020-05-19;no;France;182569.0
2020-05-19;no;Germany;
2020-05-19;no;Italy;
2020-05-20;no;France;183050.0
2020-05-20;no;Germany;
2020-05-20;no;Italy;
2020-05-21;no;France;183317.0
2020-05-21;no;Germany;
2020-05-21;no;Italy;
2020-05-22;no;France;184073.0
2020-05-22;no;Germany;
2020-05-22;no;Italy;
2020-05-23;no;France;184619.0
2020-05-23;no;Germany;
2020-05-23;no;Italy;
2020-05-24;no;France;184180.0
2020-05-24;no;Germany;
2020-05-24;no;Italy;
2020-05-25;no;France;184505.0
2020-05-25;no;Germany;
2020-05-25;no;Italy;
2020-05-26;no;France;184760.0
2020-05-26;no;Germany;
2020-05-26;no;Italy;
2020-05-27;no;France;184933.0
2020-05-27;no;Germany;
2020-05-27;no;Italy;
2020-05-28;no;France;188275.0
2020-05-28;no;Germany;
2020-05-28;no;Italy;
2020-05-29;no;France;188869.0
2020-05-29;no;Germany;
2020-05-29;no;Italy;
2020-05-30;no;France;190663.0
2020-05-30;no;Germany;
2020-05-30;no;Italy;
2020-05-31;no;France;190895.0
2020-05-31;no;Germany;
2020-05-31;no;Italy;
2020-06-01;no;France;191301.0
2020-06-01;no;Germany;
2020-06-01;no;Italy;
2020-06-02;no;France;190654.0
2020-06-02;no;Germany;
2020-06-02;no;Italy;
2020-06-03;no;France;187428.0
2020-06-03;no;Germany;
2020-06-03;no;Italy;
2020-06-04;no;France;191788.0
2020-06-04;no;Germany;
2020-06-04;no;Italy;
2020-06-05;no;France;192369.0
2020-06-05;no;Germany;
2020-06-05;no;Italy;
2020-06-06;no;France;192941.0
2020-06-06;no;Germany;
2020-06-06;no;Italy;
2020-06-07;no;France;193282.0
2020-06-07;no;Germany;
2020-06-07;no;Italy;
2020-06-08;no;France;193556.0
2020-06-08;no;Germany;
2020-06-08;no;Italy;
2020-06-09;no;France;194108.0
2020-06-09;no;Germany;
2020-06-09;no;Italy;
2020-06-10;no;France;194733.0
2020-06-10;no;Germany;
2020-06-10;no;Italy;
2020-06-11;no;France;195097.0
2020-06-11;no;Germany;
2020-06-11;no;Italy;
2020-06-12;no;France;195898.0
2020-06-12;no;Germany;
2020-06-12;no;Italy;
2020-06-13;no;France;196395.0
2020-06-13;no;Germany;
2020-06-13;no;Italy;
2020-06-14;no;France;196785.0
2020-06-14;no;Germany;
2020-06-14;no;Italy;
2020-06-15;no;France;196921.0
2020-06-15;no;Germany;
2020-06-15;no;Italy;
2020-06-16;no;France;197584.0
2020-06-16;no;Germany;
2020-06-16;no;Italy;
2020-06-17;no;France;198073.0
2020-06-17;no;Germany;
2020-06-17;no;Italy;
2020-06-18;no;France;198659.0
2020-06-18;no;Germany;
2020-06-18;no;Italy;
2020-06-19;no;France;199446.0
2020-06-19;no;Germany;
2020-06-19;no;Italy;
2020-06-20;no;France;200065.0
2020-06-20;no;Germany;
2020-06-20;no;Italy;
2020-06-21;no;France;200408.0
2020-06-21;no;Germany;
2020-06-21;no;Italy;
2020-06-22;no;France;200550.0
2020-06-22;no;Germany;
2020-06-22;no;Italy;
2020-06-23;no;France;201248.0
2020-06-23;no;Germany;
2020-06-23;no;Italy;
2020-06-24;no;France;201516.0
2020-06-24;no;Germany;
2020-06-24;no;Italy;
2020-06-25;no;France;201771.0
2020-06-25;no;Germany;
2020-06-25;no;Italy;
2020-06-26;no;France;203034.0
2020-06-26;no;Germany;
2020-06-26;no;Italy;
2020-06-27;no;France;203482.0
2020-06-27;no;Germany;
2020-06-27;no;Italy;
2020-06-28;no;France;203073.0
2020-06-28;no;Germany;
2020-06-28;no;Italy;
2020-06-29;no;France;203718.0
2020-06-29;no;Germany;
2020-06-29;no;Italy;
2020-06-30;no;France;204160.0
2020-06-30;no;Germany;
2020-06-30;no;Italy;
2020-07-01;no;France;205150.0
2020-07-01;no;Germany;
2020-07-01;no;Italy;
2020-07-02;no;France;205689.0
2020-07-02;no;Germany;
2020-07-02;no;Italy;
2020-07-03;no;France;206228.0
2020-07-03;no;Germany;
2020-07-03;no;Italy;
2020-07-04;no;France;206586.0
2020-07-04;no;Germany;
2020-07-04;no;Italy;
2020-07-05;no;France;206598.0
2020-07-05;no;Germany;
2020-07-05;no;Italy;
2020-07-06;no;France;207616.0
2020-07-06;no;Germany;
2020-07-06;no;Italy;
2020-07-07;no;France;208070.0
2020-07-07;no;Germany;
2020-07-07;no;Italy;
2020-07-08;no;France;208892.0
2020-07-08;no;Germany;
2020-07-08;no;Italy;
2020-07-09;no;France;209336.0
2020-07-09;no;Germany;
2020-07-09;no;Italy;
2020-07-10;no;France;210050.0
2020-07-10;no;Germany;
2020-07-10;no;Italy;
2020-07-11;no;France;210301.0
2020-07-11;no;Germany;
2020-07-11;no;Italy;
2020-07-12;no;France;210317.0
2020-07-12;no;Germany;
2020-07-12;no;Italy;
2020-07-13;no;France;211740.0
2020-07-13;no;Germany;
2020-07-13;no;Italy;
2020-07-14;no;France;211802.0
2020-07-14;no;Germany;
2020-07-14;no;Italy;
2020-07-15;no;France;212528.0
2020-07-15;no;Germany;
2020-07-15;no;Italy;
2020-07-16;no;France;213097.0
2020-07-16;no;Germany;
2020-07-16;no;Italy;
2020-07-17;no;France;213921.0
2020-07-17;no;Germany;
2020-07-17;no;Italy;
2020-07-18;no;France;214086.0
2020-07-18;no;Germany;
2020-07-18;no;Italy;
2020-07-19;no;France;214090.0
2020-07-19;no;Germany;
2020-07-19;no;Italy;
2020-07-20;no;France;216001.0
2020-07-20;no;Germany;
2020-07-20;no;Italy;
2020-07-21;no;France;216596.0
2020-07-21;no;Germany;
2020-07-21;no;Italy;
2020-07-22;no;France;217517.0
2020-07-22;no;Germany;
2020-07-22;no;Italy;
2020-07-23;no;France;218753.0
2020-07-23;no;Germany;
2020-07-23;no;Italy;
2020-07-24;no;France;219844.0
2020-07-24;no;Germany;
2020-07-24;no;Italy;
2020-07-25;no;France;219928.0
2020-07-25;no;Germany;
2020-07-25;no;Italy;
2020-07-26;no;France;219932.0
2020-07-26;no;Germany;
2020-07-26;no;Italy;
2020-07-27;no;France;222420.0
2020-07-27;no;Germany;
2020-07-27;no;Italy;
2020-07-28;no;France;222984.0
2020-07-28;no;Germany;
2020-07-28;no;Italy;
2020-07-29;no;France;224454.0
2020-07-29;no;Germany;
2020-07-29;no;Italy;
2020-07-30;no;France;225848.0
2020-07-30;no;Germany;
2020-07-30;no;Italy;
2020-07-31;no;France;227151.0
2020-07-31;no;Germany;
2020-07-31;no;Italy;
2020-08-01;no;France;227213.0
2020-08-01;no;Germany;
2020-08-01;no;Italy;
2020-08-02;no;France;227216.0
2020-08-02;no;Germany;
2020-08-02;no;Italy;
2020-08-03;no;France;230577.0
2020-08-03;no;Germany;
2020-08-03;no;Italy;
2020-08-04;no;France;231546.0
2020-08-04;no;Germany;
2020-08-04;no;Italy;
2020-08-05;no;France;233254.0
2020-08-05;no;Germany;
2020-08-05;no;Italy;
2020-08-06;no;France;234855.0
2020-08-06;no;Germany;
2020-08-06;no;Italy;
2020-08-07;no;France;237237.0
2020-08-07;no;Germany;
2020-08-07;no;Italy;
2020-08-08;no;France;237306.0
2020-08-08;no;Germany;
2020-08-08;no;Italy;
2020-08-09;no;France;237312.0
2020-08-09;no;Germany;
2020-08-09;no;Italy;
2020-08-10;no;France;242029.0
2020-08-10;no;Germany;
2020-08-10;no;Italy;
2020-08-11;no;France;243437.0
2020-08-11;no;Germany;
2020-08-11;no;Italy;
2020-08-12;no;France;246014.0
2020-08-12;no;Germany;
2020-08-12;no;Italy;
2020-08-13;no;France;248684.0
2020-08-13;no;Germany;
2020-08-13;no;Italy;
2020-08-14;no;France;251571.0
2020-08-14;no;Germany;
2020-08-14;no;Italy;
2020-08-15;no;France;254781.0
2020-08-15;no;Germany;
2020-08-15;no;Italy;
2020-08-16;no;France;257801.0
2020-08-16;no;Germany;
2020-08-16;no;Italy;
2020-08-17;no;France;258391.0
2020-08-17;no;Germany;
2020-08-17;no;Italy;
2020-08-18;no;France;260509.0
2020-08-18;no;Germany;
2020-08-18;no;Italy;
2020-08-19;no;France;264296.0
2020-08-19;no;Germany;
2020-08-19;no;Italy;
2020-08-20;no;France;269096.0
2020-08-20;no;Germany;
2020-08-20;no;Italy;
2020-08-21;no;France;274050.0
2020-08-21;no;Germany;
2020-08-21;no;Italy;
2020-08-22;no;France;277524.0
2020-08-22;no;Germany;
2020-08-22;no;Italy;
2020-08-23;no;France;282259.0
2020-08-23;no;Germany;
2020-08-23;no;Italy;
2020-08-24;no;France;284235.0
2020-08-24;no;Germany;
2020-08-24;no;Italy;
2020-08-25;no;France;287667.0
2020-08-25;no;Germany;
2020-08-25;no;Italy;
2020-08-26;no;France;287911.0
2020-08-26;no;Germany;
2020-08-26;no;Italy;
2020-08-27;no;France;299137.0
2020-08-27;no;Germany;
2020-08-27;no;Italy;
2020-08-28;no;France;306695.0
2020-08-28;no;Germany;
2020-08-28;no;Italy;
2020-08-29;no;France;312155.0
2020-08-29;no;Germany;
2020-08-29;no;Italy;
2020-08-30;no;France;317537.0
2020-08-30;no;Germany;
2020-08-30;no;Italy;
2020-08-31;no;France;320559.0
2020-08-31;no;Germany;
2020-08-31;no;Italy;
2020-09-01;no;France;325663.0
2020-09-01;no;Germany;
2020-09-01;no;Italy;
2020-09-02;no;France;332701.0
2020-09-02;no;Germany;
2020-09-02;no;Italy;
2020-09-03;no;France;339820.0
2020-09-03;no;Germany;
2020-09-03;no;Italy;
2020-09-04;no;France;348608.0
2020-09-04;no;Germany;
2020-09-04;no;Italy;
2020-09-05;no;France;357202.0
2020-09-05;no;Germany;
2020-09-05;no;Italy;
2020-09-06;no;France;364217.0
2020-09-06;no;Germany;
2020-09-06;no;Italy;
2020-09-07;no;France;368401.0
2020-09-07;no;Germany;
2020-09-07;no;Italy;
2020-09-08;no;France;375139.0
2020-09-08;no;Germany;
2020-09-08;no;Italy;
2020-09-09;no;France;383716.0
2020-09-09;no;Germany;
2020-09-09;no;Italy;
2020-09-10;no;France;393415.0
2020-09-10;no;Germany;
2020-09-10;no;Italy;
2020-09-11;no;France;402848.0
2020-09-11;no;Germany;
2020-09-11;no;Italy;
2020-09-12;no;France;414184.0
2020-09-12;no;Germany;
2020-09-12;no;Italy;
2020-09-13;no;France;420529.0
2020-09-13;no;Germany;
2020-09-13;no;Italy;
2020-09-14;no;France;426703.0
2020-09-14;no;Germany;
2020-09-14;no;Italy;
2020-09-15;no;France;434529.0
2020-09-15;no;Germany;
2020-09-15;no;Italy;
2020-09-16;no;France;444796.0
2020-09-16;no;Germany;
2020-09-16;no;Italy;
2020-09-17;no;France;455035.0
2020-09-17;no;Germany;
2020-09-17;no;Italy;
2020-09-18;no;France;468256.0
2020-09-18;no;Germany;
2020-09-18;no;Italy;
2020-09-19;no;France;481656.0
2020-09-19;no;Germany;
2020-09-19;no;Italy;
2020-09-20;no;France;492192.0
2020-09-20;no;Germany;
2020-09-20;no;Italy;
2020-09-21;no;France;497731.0
2020-09-21;no;Germany;
2020-09-21;no;Italy;
2020-09-22;no;France;507692.0
2020-09-22;no;Germany;
2020-09-22;no;Italy;
2020-09-23;no;France;520848.0
2020-09-23;no;Germany;
2020-09-23;no;Italy;
2020-09-24;no;France;536753.0
2020-09-24;no;Germany;
2020-09-24;no;Italy;
2020-09-25;no;France;552747.0
2020-09-25;no;Germany;
2020-09-25;no;Italy;
2020-09-26;no;France;566966.0
2020-09-26;no;Germany;
2020-09-26;no;Italy;
2020-09-27;no;France;577601.0
2020-09-27;no;Germany;
2020-09-27;no;Italy;
2020-09-28;no;France;581900.0
2020-09-28;no;Germany;
2020-09-28;no;Italy;
2020-09-29;no;France;589756.0
2020-09-29;no;Germany;
2020-09-29;no;Italy;
2020-09-30;no;France;603998.0
2020-09-30;no;Germany;
2020-09-30;no;Italy;
2020-10-01;no;France;617023.0
2020-10-01;no;Germany;
2020-10-01;no;Italy;
2020-10-02;no;France;629347.0
2020-10-02;no;Germany;
2020-10-02;no;Italy;
2020-10-03;no;France;645861.0
2020-10-03;no;Germany;
2020-10-03;no;Italy;
2020-10-04;no;France;658365.0
2020-10-04;no;Germany;
2020-10-04;no;Italy;
2020-10-05;no;France;663740.0
2020-10-05;no;Germany;
2020-10-05;no;Italy;
2020-10-06;no;France;675050.0
2020-10-06;no;Germany;
2020-10-06;no;Italy;
2020-10-07;no;France;693873.0
2020-10-07;no;Germany;
2020-10-07;no;Italy;
2020-10-08;no;France;711213.0
2020-10-08;no;Germany;
2020-10-08;no;Italy;
2020-10-09;no;France;731910.0
2020-10-09;no;Germany;
2020-10-09;no;Italy;
2020-10-10;no;France;758587.0
2020-10-10;no;Germany;
2020-10-10;no;Italy;
2020-10-11;no;France;774581.0
2020-10-11;no;Germany;
2020-10-11;no;Italy;
2020-10-12;no;France;783296.0
2020-10-12;no;Germany;
2020-10-12;no;Italy;
2020-10-13;no;France;796922.0
2020-10-13;no;Germany;
2020-10-13;no;Italy;
2020-10-14;no;France;819565.0
2020-10-14;no;Germany;
2020-10-14;no;Italy;
2020-10-15;no;France;849322.0
2020-10-15;no;Germany;
2020-10-15;no;Italy;
2020-10-16;no;France;874732.0
2020-10-16;no;Germany;
2020-10-16;no;Italy;
2020-10-17;no;France;906871.0
2020-10-17;no;Germany;
2020-10-17;no;Italy;
2020-10-18;no;France;936708.0
2020-10-18;no;Germany;
2020-10-18;no;Italy;
2020-10-19;no;France;950246.0
2020-10-19;no;Germany;
2020-10-19;no;Italy;
2020-10-20;no;France;970622.0
2020-10-20;no;Germany;
2020-10-20;no;Italy;
2020-10-21;no;France;997419.0
2020-10-21;no;Germany;
2020-10-21;no;Italy;
2020-10-22;no;France;1038232.0
2020-10-22;no;Germany;
2020-10-22;no;Italy;
2020-10-23;no;France;1080445.0
2020-10-23;no;Germany;
2020-10-23;no;Italy;
2020-10-24;no;France;1125710.0
2020-10-24;no;Germany;
2020-10-24;no;Italy;
2020-10-25;no;France;1132264.0
2020-10-25;no;Germany;
2020-10-25;no;Italy;
2020-10-26;no;France;1204702.0
2020-10-26;no;Germany;
2020-10-26;no;Italy;
2020-10-27;no;France;1239160.0
2020-10-27;no;Germany;
2020-10-27;no;Italy;
2020-10-28;no;France;1275879.0
2020-10-28;no;Germany;
2020-10-28;no;Italy;
2020-10-29;no;France;1322515.0
2020-10-29;no;Germany;
2020-10-29;no;Italy;
2020-10-30;no;France;1371988.0
2020-10-30;no;Germany;
2020-10-30;no;Italy;
2020-10-31;no;France;1407089.0
2020-10-31;no;Germany;
2020-10-31;no;Italy;
2020-11-01;no;France;1453268.0
2020-11-01;no;Germany;
2020-11-01;no;Italy;
2020-11-02;no;France;1557975.0
2020-11-02;no;Germany;
2020-11-02;no;Italy;
2020-11-03;no;France;1630273.0
2020-11-03;no;Germany;
2020-11-03;no;Italy;
2020-11-04;no;France;1583814.0
2020-11-04;no;Germany;
2020-11-04;no;Italy;
2020-11-05;no;France;1641166.0
2020-11-05;no;Germany;
2020-11-05;no;Italy;
2020-11-06;no;France;1701877.0
2020-11-06;no;Germany;
2020-11-06;no;Italy;
2020-11-07;no;France;1788532.0
2020-11-07;no;Germany;
2020-11-07;no;Italy;
2020-11-08;no;France;1827094.0
2020-11-08;no;Germany;
2020-11-08;no;Italy;
2020-11-09;no;France;1847833.0
2020-11-09;no;Germany;
2020-11-09;no;Italy;
2020-11-10;no;France;1870155.0
2020-11-10;no;Germany;
2020-11-10;no;Italy;
2020-11-11;no;France;1906216.0
2020-11-11;no;Germany;
2020-11-11;no;Italy;
2020-11-12;no;France;1938604.0
2020-11-12;no;Germany;
2020-11-12;no;Italy;
2020-11-13;no;France;1962518.0
2020-11-13;no;Germany;
2020-11-13;no;Italy;
2020-11-14;no;France;1994475.0
2020-11-14;no;Germany;
2020-11-14;no;Italy;
2020-11-15;no;France;2021667.0
2020-11-15;no;Germany;
2020-11-15;no;Italy;
2020-11-16;no;France;2031302.0
2020-11-16;no;Germany;
2020-11-16;no;Italy;
2020-11-17;no;France;2076663.0
2020-11-17;no;Germany;
2020-11-17;no;Italy;
2020-11-18;no;France;2105282.0
2020-11-18;no;Germany;
2020-11-18;no;Italy;
2020-11-19;no;France;2125842.0
2020-11-19;no;Germany;
2020-11-19;no;Italy;
2020-11-20;no;France;2148944.0
2020-11-20;no;Germany;
2020-11-20;no;Italy;
2020-11-21;no;France;2166612.0
2020-11-21;no;Germany;
2020-11-21;no;Italy;
2020-11-22;no;France;2179742.0
2020-11-22;no;Germany;
2020-11-22;no;Italy;
2020-11-23;no;France;2184496.0
2020-11-23;no;Germany;
2020-11-23;no;Italy;
2020-11-24;no;France;2194186.0
2020-11-24;no;Germany;
2020-11-24;no;Italy;
2020-11-25;no;France;2210674.0
2020-11-25;no;Germany;
2020-11-25;no;Italy;
2020-11-26;no;France;2223575.0
2020-11-26;no;Germany;
2020-11-26;no;Italy;
2020-11-27;no;France;2236136.0
2020-11-27;no;Germany;
2020-11-27;no;Italy;
2020-11-28;no;France;2248613.0
2020-11-28;no;Germany;
2020-11-28;no;Italy;
2020-11-29;no;France;2258376.0
2020-11-29;no;Germany;
2020-11-29;no;Italy;
2020-11-30;no;France;2262406.0
2020-11-30;no;Germany;
2020-11-30;no;Italy;
2020-12-01;no;France;2270662.0
2020-12-01;no;Germany;
2020-12-01;no;Italy;
2020-12-02;no;France;2284733.0
2020-12-02;no;Germany;
2020-12-02;no;Italy;
2020-12-03;no;France;2297338.0
2020-12-03;no;Germany;
2020-12-03;no;Italy;
2020-12-04;no;France;2308638.0
2020-12-04;no;Germany;
2020-12-04;no;Italy;
2020-12-05;no;France;2321520.0
2020-12-05;no;Germany;
2020-12-05;no;Italy;
2020-12-06;no;France;2332469.0
